product_id,product_name,category
0972683275,Portable Advanced Air Purifier 0972,Fashion
1400532655,Vintage Smartphone 1400,Smart Home
B00001P4XA,Vintage Durable Camera Lens B000,Computers
B00001P4ZH,Premium Keyboard B000,Electronics
B00001WRSJ,Durable Advanced Drone B000,Home & Kitchen
B00004SABB,Digital Digital Vacuum Cleaner B000,Smart Home
B00004SB92,Eco-friendly Smartphone B000,Beauty & Personal Care
B00004T8R2,Compact Heavy-Duty Camera Lens B000,Computers
B00004THCZ,Wireless Backpack B000,Electronics
B00004VUGJ,Compact Drone B000,Computers
B00004WCGF,Essential Backpack B000,Beauty & Personal Care
B00004WCIC,Sleek Sleek Toaster B000,Fashion
B00004WCID,Portable Keyboard B000,Office Supplies
B00004Z5M1,Eco-friendly Tablet B000,Office Supplies
B00004ZC8Y,Professional Yoga Mat B000,Smart Home
B00004ZCJE,Wireless Digital Vacuum Cleaner B000,Beauty & Personal Care
B00005A1K1,Advanced Heavy-Duty Gaming Mouse B000,Home & Kitchen
B00005ARK3,Ergonomic Earbuds B000,Office Supplies
B00005ATMB,Durable Tablet B000,Fashion
B00005ATMI,Modern Laptop Stand B000,Smart Home
B00005LEN4,Durable Vintage Backpack B000,Office Supplies
B00005ML7Q,Professional Ultra-Slim Earbuds B000,Electronics
B00005N6KG,Durable Modern Headphones B000,Fashion
B00005NIMJ,Smart Advanced Vacuum Cleaner B000,Home & Kitchen
B00005T39Y,Essential Ultra-Slim Drone B000,Beauty & Personal Care
B00005T3G0,Premium Gaming Mouse B000,Sports & Outdoors
B000062VUO,Luxury High-Performance Headphones B000,Sports & Outdoors
B0000642RX,Sleek Sleek Gaming Mouse B000,Sports & Outdoors
B0000645RH,Smart Luxury Tablet B000,Home & Kitchen
B000065BP9,Ultra-Slim Gaming Mouse B000,Home & Kitchen
B000065BPB,Essential Power Bank B000,Computers
B000066E6Y,High-Performance Air Purifier B000,Office Supplies
B000066R6M,Modern Wireless Microwave B000,Computers
B000067O5G,Premium Coffee Maker B000,Office Supplies
B000067RC4,Advanced Sleek Water Bottle B000,Home & Kitchen
B000067RT6,Automatic Advanced Running Shoes B000,Sports & Outdoors
B000067S60,Vintage Professional Toaster B000,Electronics
B000067SMH,Ultra-Slim Eco-friendly Blender B000,Electronics
B00006B7DA,Sleek Toaster B000,Office Supplies
B00006B9CR,Sleek Blender B000,Computers
B00006BBAC,Ultra-Slim Water Bottle B000,Home & Kitchen
B00006HYKM,Premium Durable Drone B000,Beauty & Personal Care
B00006HYPV,Digital Headphones B000,Sports & Outdoors
B00006JN3G,Ultra-Slim Portable Microwave B000,Office Supplies
B00006JQ06,Luxury Coffee Maker B000,Computers
B00006RVPW,High-Performance Tablet B000,Beauty & Personal Care
B00007056H,Heavy-Duty Wireless Bluetooth Speaker B000,Electronics
B00007E7C8,High-Performance Monitor B000,Computers
B00007E7JU,Portable Advanced Microwave B000,Home & Kitchen
